galaxy name,ML_disk,ML_bulge,rad_start,rad_stop
CamB,0.5,0.7,1,1.4
D512-2,0.5,0.7,2,3
D564-8,0.5,0.7,1.5,2.5
D631-7,0.5,0.7,2,4
DDO154,0.5,0.7,3,5
DDO161,0.5,0.7,2,9
DDO168,0.5,0.7,2,3
DDO170,0.5,0.7,8,10
ESO079-G014,0.5,0.7,12,14
ESO116-G012,0.5,0.7,4,6
ESO444-G084,0.5,0.7,1.5,2.5
ESO563-G021,0.5,0.7,10,20
F571-8,0.3,0.7,1,3
F571-V1,0.5,0.7,9,12
F579-V1,0.5,0.7,10,14
IC4202,0.5,0.7,9,13
KK98-251,0.5,0.7,2,3
NGC0024,0.5,0.7,3,5
NGC0055,0.5,0.7,7,10
NGC0100,0.5,0.7,3,6
NGC0247,0.5,0.7,10,13
NGC0289,0.5,0.7,0.5,3
NGC0300,0.5,0.7,2,10
NGC0801,0.5,0.7,1,10
NGC0891,0.3,0.45,2,5
NGC1003,0.5,0.7,3,7
NGC1090,0.5,0.7,5,15
NGC1705,0.5,0.7,0.5,2
NGC2403,0.5,0.7,2,5
NGC2683,0.5,0.7,1,6
NGC2903,0.5,0.7,2,5
NGC2915,0.35,0.4,0.5,2
NGC2955,0.5,0.65,3,7
NGC2976,0.5,0.7,1.5,2.3
NGC2998,0.5,0.7,4,10
NGC3198,0.5,0.7,4,10
NGC3521,0.5,0.7,2.7,5.1
NGC3726,0.5,0.7,6,12
NGC3769,0.5,0.7,1,5
NGC3877,0.5,0.7,6,10
NGC3893,0.5,0.7,2.5,7.5
NGC3917,0.5,0.7,6,12
NGC3949,0.5,0.7,3,5
NGC3953,0.5,0.7,8,14
NGC3972,0.5,0.7,5,8
NGC3992,0.5,0.7,11,25
NGC4010,0.5,0.7,6,10
NGC4013,0.5,0.7,6,10
NGC4051,0.5,0.7,7,11
NGC4085,0.5,0.7,3,5.5
NGC4088,0.42,0.7,5,10
NGC4100,0.5,0.7,5,10
NGC4157,0.5,0.7,5,13
NGC4183,0.5,0.7,6,12
NGC4214,0.5,0.7,0.5,2
NGC4217,0.2,0.3,2,6
NGC4389,0.35,0.45,4,5
NGC4559,0.5,0.7,3,10
NGC5005,0.5,0.5,0.75,1.5
NGC5055,0.5,0.7,2,3.5
NGC5371,0.5,0.7,10,30
NGC5585,0.5,0.7,2,8
NGC5907,0.5,0.7,10,20
NGC5985,0.5,0.7,10,20
NGC6015,0.5,0.7,3,7
NGC6195,0.5,0.67,3,10
NGC6503,0.5,0.7,1,5
NGC6674,0.5,0.7,5,20
NGC7331,0.4,0.5,3,7
NGC7793,0.5,0.7,2,5
PGC51017,0.5,0.7,1,2.5
UGC00128,0.5,0.7,20,40
UGC00191,0.5,0.7,4,8
UGC00634,0.5,0.7,10,16
UGC00891,0.5,0.7,3.5,6
UGC01230,0.5,0.7,15,30
UGC02259,0.5,0.7,4,7
UGC02916,0.5,0.55,1,5
UGC02953,0.5,0.7,1,10
UGC03205,0.5,0.7,5,10
UGC03580,0.3,0.3,1,5
UGC04305,0.5,0.5,4,5.2
UGC04325,0.5,0.7,4,5.2
UGC05253,0.5,0.7,1,1.5
UGC05716,0.5,0.7,8,12
UGC05721,0.5,0.7,0.5,2
UGC05764,0.5,0.7,2.5,3.5
UGC05986,0.5,0.7,3,6
UGC06399,0.5,0.7,6,7.5
UGC06446,0.5,0.7,7,10
UGC06667,0.5,0.7,6,7.5
UGC06786,0.5,0.7,0.5,2
UGC06787,0.5,0.65,0.5,1.2
UGC06818,0.5,0.7,2,6.5
UGC06930,0.5,0.7,10,14
UGC07089,0.5,0.7,3,8
UGC07125,0.5,0.7,12.5,17.5
UGC07577,0.5,0.7,1.4,1.7
UGC07603,0.5,0.7,1,2.5
UGC07690,0.5,0.7,1,2.5
UGC08286,0.5,0.7,3,6
UGC08490,0.5,0.7,1,4
UGC08550,0.5,0.7,1,3
UGC08699,0.5,0.45,0.5,1
UGC09037,0.5,0.7,5,15
UGC09133,0.5,0.68,1,2
UGC09992,0.5,0.7,3,3.8
UGC10310,0.5,0.7,6,8
UGC11455,0.5,0.7,10,20
UGC11557,0.5,0.7,5,10
UGC11820,0.5,0.7,8,14
UGC11914,0.5,0.7,1,4
UGC12506,0.5,0.7,10,25
UGCA281,0.5,0.7,0.6,1
UGCA442,0.5,0.7,2,5
UGCA444,0.5,0.7,1,2.5
