Galaxy,T,D,eD,met,i,ei,L36,eL36,Reff,SBeff,Rd,csb,MHI,RHI,Vf,eVf,Q,Rbar,SBbar,Lbulge,Rp,Vp_bary,Vp_obs
Name,-,Mpc,Mpc,-,Deg,Deg,10^9L,10^9L,kpc,L/pc^2,kpc,L/pc^2,10^9M,kpc,km/s,km/s,-,kpc,M/pc^2,10^9L,kpc,km/s,km/s
CamB,10,3.36,0.26,2,65,5,0.075,0.003,1.21,7.89,0.47,66.2,0.012,1.21,0,0,2,1.47,18.55,0,1.27959596,13.95135851,15.17885925
D512-2,10,15.2,4.56,1,56,10,0.325,0.022,2.37,9.22,1.24,93.94,0.081,0,0,0,2,3.83,13.82,0,2.351515152,16.59793601,35.90525011
D564-8,10,8.79,0.28,2,63,7,0.033,0.004,0.72,10.11,0.61,21.13,0.029,0,0,0,2,2.04,9.92,0,1.932222222,9.280112626,21.74558083
D631-7,10,7.72,0.18,2,59,3,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0,57.7,2.7,1,2.69,50.13,0,6.645353535,18.71648009,58.12052999
DDO154,10,4.04,0.2,2,64,3,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47,1,2,3.95,18.86,0,3.945454545,18.3733927,46.53889116
DDO161,10,7.5,2.25,1,70,10,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,9.58,17.22,0,8.468383838,34.43019207,62.53488535
DDO168,10,4.25,0.21,2,63,6,0.191,0.005,1.29,18.23,1.02,92.22,0.413,4.3,53.7,1.6,2,3.71,35.13,0,2.508585859,25.7979934,50.13549235
DDO170,10,15.4,4.62,1,66,7,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60,1.6,2,9.34,10.74,0,9.054646465,30.27468893,58.92673858
ESO079-G014,4,28.7,7.17,1,79,5,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175,3.5,1,13.36,126.24,0,13.22090909,101.5166185,174.0423979
ESO116-G012,7,13,3.9,1,74,3,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,5.23,98.34,0,4.715252525,51.93124812,104.2882823
ESO444-G084,10,4.83,0.48,2,32,6,0.071,0.003,0.75,19.81,0.46,66.81,0.135,2.95,0,0,2,2.32,29.97,0,2.117777778,21.86404364,57.21103767
ESO563-G021,4,60.8,9.1,1,83,3,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,16.83,497.54,0,16.1320202,199.0995527,312.0267907
F571-8,5,53.3,10.7,1,85,5,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,2.33,1029.5,0,2.387878788,63.01957959,69.86857932
