ID,M2L,e_M2L,M2Lb,T,D,e_D,inc,e_inc,L[3.6],e_L[3.6],Lbulge,Reff,Rp,SBeff,e_SBeff,Rdisk,SB0,e_SB0,Mbar,e_Mbar,SBbar,e_SBbar,Vp,e_Vp,Vb,e_Vb
Galaxy Name,Mass-to-Light Ratio,Uncertainty in M2L,Bulge Mass-to-Light Ratio,Hubble Type (1),Distance,Mean error on D,Inclination, Mean error on Inc,Total Luminosity at [3.6],Mean error on L[3.6],Bulge Luminosity at [3.6],Effective Radius at [3.6],Radius of peak Vbar (5),Effective Surface Brightness at [3.6],Uncertainty in SBeff,Disk Scale Length at [3.6],Disk Central Surface Brightness at [3.6],Uncertainty in SBdisk,Baryonic mass (6,Uncertainty in Mbar (6),Baryonic Surface Brightness at [3.6] (6),Uncertainty in SBbar (6),Vobs at Rp (6),Uncertainty in Vp (6),Vbar at Rp (6),Uncertainty in Vbar (6)
CamB,0.11,0,0,10,3.36,0.26,65,5,0.075,0.003,0,1.21,1.22,3.334,0.123,0.47,2.96,0.037,0.01,0,2.754,0.11,16.8,1.5,9.94,0
D512-2,2.37,0.093,0,10,15.2,4.56,56,10,0.325,0.022,0,2.37,1.92,5.156,0.501,1.24,124.589,4.908,0.77,0.06,156.824,12.282,33.5,2.71,33.24,0.632
D564-8,2.37,0.558,0,10,8.79,0.28,63,7,0.033,0.004,0,0.72,1.53,4.59,0.254,0.61,22.74,5.353,0.08,0.021,14.098,3.733,21.9,1.82,15.364,1.5
D631-7,0.92,0,0,10,7.72,0.18,59,3,0.196,0.009,0,1.22,1.8,10.78,0.291,0.7,54.594,0.027,0.18,0.008,41.805,1.92,30.9,2.22,27.771,0
DDO154,4.28,0,0,10,4.04,0.2,64,3,0.053,0.002,0,0.65,0.99,8.763,0.201,0.37,133.567,0.023,0.23,0.009,10.893,0.411,46.3,0.2,30.997,0
DDO161,1.2,0.107,0,10,7.5,2.25,70,10,0.548,0.015,0,2.04,9.11,7.093,0.421,1.22,69.238,6.22,0.65,0.062,5.919,0.556,63,2.09,38.042,0.405
DDO168,2.04,0.351,0,10,4.25,0.21,63,6,0.191,0.005,0,1.29,3.3,8.276,0.393,1.02,85.504,14.712,0.39,0.068,35.028,6.096,52.9,1.7,33.475,1.551
DDO170,4.2,0.571,0,10,15.4,4.62,66,7,0.543,0.03,0,3.03,7.85,3.819,0.189,1.95,126.389,17.171,2.28,0.335,27.778,4.074,58.6,1.1,46.874,2.132
ESO079-G014,0.97,0,0,4,28.7,7.17,79,5,51.733,0.524,0,7.23,13.36,30.022,0.499,5.08,427.076,0.017,50.45,0.511,211.979,2.147,175,2.18,136.226,0
ESO116-G012,1.21,0.091,0,7,13,3.9,74,3,4.292,0.071,0,2.75,4.13,24.956,0.36,1.51,440.904,33.004,5.2,0.398,228.558,17.522,102,5.4,76.318,2.612
ESO444-G084,5.39,0.882,0,10,4.83,0.48,32,6,0.071,0.003,0,0.75,1.29,16.8,1.489,0.46,305.395,49.967,0.38,0.065,53.327,9.011,58,3.11,37.552,2.482
ESO563-G021,0.66,0,0,4,60.8,9.1,83,3,311.177,2.579,0,10.59,16.83,52.327,0.334,5.45,529.716,0.006,206.22,1.709,546.033,4.525,314,13.5,231.148,0
F571-8,0.24,0.05,0,5,53.3,10.7,85,5,10.164,0.412,0,1.4,2.33,71.965,0.547,3.56,1.808,0.379,2.42,0.516,333.883,71.252,69.1,4,56.064,5.82
F571-V1,2.56,0.407,0,7,80.1,8,30,10,1.849,0.267,0,4.38,9.72,13.25,1.993,2.47,142.979,22.676,4.74,1.017,37.635,8.072,82.5,6,59.084,3.517
F579-V1,2.59,0.141,0,5,89.5,8.95,26,10,11.848,0.742,0,5.76,10.85,50.872,7.94,3.37,469.416,25.627,30.67,2.548,195.393,16.233,114,9.1,120.955,3.145
IC4202,0.38,0,0.381,4,100.4,10,90,1,179.749,3.311,37.362,8.55,11.79,0,0,4.78,0,0,68.44,1.261,422.651,7.785,240,7.16,151.763,0
KK98-251,2.71,0,0,10,6.8,2.04,59,5,0.085,0.007,0,1.28,2.79,4.064,0.182,1.34,72.85,0.045,0.23,0.019,22.234,1.831,34.6,2,27.948,0
NGC0024,1.75,0.098,0,5,7.3,0.36,64,3,3.889,0.036,0,2.01,2.65,66.479,1.525,1.34,906.161,50.742,6.8,0.386,669.289,37.987,107,11.2,93.812,2.531
NGC0055,1.17,0.102,0,9,2.11,0.11,77,3,4.628,0.013,0,3.67,13.5,12.271,0.144,6.11,103.361,8.982,5.43,0.472,22.347,1.943,86.5,5.5,61.912,1.897
NGC0100,1.02,0.082,0,6,13.5,4.05,89,1,3.232,0.063,0,2.81,3.88,1.134,0,1.66,21.235,1.7,3.29,0.271,164.147,13.523,73.1,4,56.887,2.176
NGC0247,2.26,0,0,7,3.7,0.19,74,3,7.332,0.027,0,5.87,10.76,9.314,0.134,3.74,315.687,0.014,16.57,0.061,97.323,0.358,104,9.4,89.827,0
NGC0289,0.79,0,0,4,20.8,5.2,46,5,72.065,0.465,0,2.69,2.52,1103.069,66.784,6.74,38.308,0.061,56.81,0.367,6708.944,43.29,194,32,201.166,0
NGC0300,1.62,0,0,7,2.08,0.1,42,10,2.922,0.008,0,1.77,4.54,109.621,14.146,1.75,526.135,0.129,4.73,0.013,67.307,0.184,88.4,8.9,65.226,0
NGC0801,0.51,0.033,0,5,80.7,8.07,80,1,312.57,3.455,0,7.76,3.52,142.069,0.431,8.72,137.844,8.971,159.16,10.507,9634.093,635.972,238,6.2,201.046,6.533
NGC0891,0.43,0.039,0.435,3,9.91,0.5,90,1,138.34,0.255,18.877,3.68,3.24,0,0,2.55,0,0,59.02,5.432,4216.761,388.054,212,6.3,236.359,9.02
NGC1003,1.05,0,0,6,11.4,3.42,67,5,6.82,0.075,0,2.76,5.39,55.042,1.874,1.61,553.49,0.034,7.18,0.079,185.384,2.039,89.7,3.8,83.71,0
NGC1090,0.61,0.059,0,4,37,9.25,64,3,72.045,0.796,0,6.36,8.17,124.357,2.853,3.53,547.885,52.978,43.81,4.264,492.309,47.914,165,12.1,133.907,6.486
NGC1705,2.59,0,0,11,5.73,0.29,80,10,0.533,0.01,0,0.49,0.66,60.325,1.819,0.39,264.382,0.03,1.38,0.026,841.152,15.781,72.4,5.35,73.488,0
NGC2403,0.88,0,0,6,3.16,0.16,63,3,10.041,0.028,0,2.16,2.28,154.838,3.679,1.39,560.869,0.024,8.81,0.025,1270.435,3.543,98.2,1.6,100.233,0
NGC2683,0.8,0.032,0.8,3,9.81,0.49,80,5,80.415,0.222,5.386,3.34,5.77,197.924,2.995,2.18,1418.139,56.577,64.35,2.573,1449.657,57.973,212,5,213.846,3.934
NGC2903,0.46,0,0,4,6.6,1.98,66,3,81.863,0.151,0,4.54,3.2,257.123,5.473,2.33,221.484,0.021,37.35,0.069,2735.571,5.046,215,4,203.626,0
NGC2915,0.52,0,0,11,4.06,0.2,56,4,0.641,0.008,0,0.53,0.67,194.264,7.578,0.55,91.194,0.039,0.33,0.004,556.339,6.943,31.3,12.5,36.051,0
NGC2955,0.45,0.01,0.752,3,97.9,9.8,56,7,319.422,4.413,71.019,7.22,4.61,544.995,37.141,18.76,12.716,0.29,143.32,3.747,5057.992,132.248,253,5.68,254.451,1.444
NGC2976,0.72,0,0,5,3.58,0.18,61,10,3.371,0.019,0,1.31,1.74,149.418,12.579,1.01,523.016,0.084,2.42,0.014,599.565,3.379,83.6,3.35,74.321,0
NGC2998,1.08,0.072,0,5,68.1,10.2,58,2,150.902,2.085,0,7.06,7.59,254.123,4.7,6.2,442.945,29.485,162.93,11.077,2121.203,144.211,206,10,230.857,7.643
NGC3198,0.89,0.04,0,5,13.8,1.4,73,3,38.279,0.212,0,5.84,6.74,52.332,0.801,3.14,415.882,18.596,33.98,1.531,560.927,25.273,144,1.23,134.597,2.986
NGC3521,0.59,0.003,0,4,7.7,2.3,75,5,84.836,0.156,0,2.45,4.12,577.865,13.035,2.4,321.305,1.866,49.85,0.304,2202.614,13.415,220,8.29,217.115,0.628
NGC3726,0.65,0.037,0,5,18,2.5,53,2,70.234,0.388,0,7.52,8.72,119.208,2.504,3.4,700.188,40.314,45.65,2.641,450.294,26.045,164,3.9,149.228,4.186
NGC3769,0.66,0.088,0,3,18,2.5,70,2,18.679,0.189,0,2.18,3.5,214.231,2.557,3.38,36.336,4.797,12.38,1.639,758.112,100.377,106,7.1,113.072,7.179
NGC3877,0.56,0.092,0,5,18,2.5,76,1,72.535,0.401,0,4.39,9.6,144.713,0.611,2.53,463.949,75.877,40.79,6.674,331.919,54.315,171,4.9,154.123,12.137
NGC3893,0.68,0,0,5,18,2.5,49,2,58.525,0.377,0,2.43,5.24,1032.224,23.634,2.38,912.163,0.023,39.59,0.255,1081.53,6.967,194,6.4,176.129,0
NGC3917,1.2,0.097,0,6,18,2.5,79,2,21.966,0.202,0,5.56,7.85,21.55,0.144,2.63,280.975,22.599,26.36,2.134,320.857,25.975,134,3.5,121.605,4.74
NGC3949,0.59,0,0,4,18,2.5,55,2,38.067,0.28,0,2.39,3.5,607.326,12.157,3.59,62.541,0.02,22.35,0.164,1368.399,10.065,152,6.2,154.94,0
NGC3953,0.82,0.012,0,4,18,2.5,62,1,141.301,0.521,0,6.17,10.47,275.702,2.259,4.89,766.367,11.178,115.38,1.736,789.424,11.876,224,5.6,224.437,1.625
NGC3972,1.19,0.127,0,4,18,2.5,77,1,14.353,0.172,0,3.73,6.11,37.061,0.145,2.18,426.545,45.39,17.14,1.835,344.324,36.872,123,4.4,118.902,6.054
NGC3992,1.23,0,0,4,23.7,2.3,56,2,226.932,0.836,0,9.99,13.79,201.555,3.933,4.96,2248.195,0.02,280.12,1.032,1104.768,4.07,264,6.6,274.1,0
NGC4010,0.75,0.063,0,7,18,2.5,89,1,17.193,0.19,0,6.63,7.85,0.257,0,2.81,34,2.887,12.83,1.098,156.122,13.367,129,5.1,91.953,3.395
NGC4013,0.69,0.016,1.03,3,18,2.5,89,1,79.094,0.364,15.385,4.11,7.69,13.022,0.004,3.53,123.682,2.905,54.92,1.315,696.584,16.672,195,3,197.205,1.79
NGC4051,0.66,0.051,0,4,18,2.5,49,3,95.268,0.439,0,6.87,8.72,209.781,7.203,4.65,567.717,44.383,62.42,4.888,615.65,48.214,161,5.2,161,6.088
NGC4085,0.37,0,0,5,18,2.5,82,2,21.724,0.2,0,2,4.45,119.23,0.579,1.65,261.286,0.005,8.12,0.075,307.618,2.832,130,4.9,97.751,0
NGC4088,0.45,0,0,4,18,2.5,69,2,107.286,0.494,0,6.1,6.98,164.118,2.053,2.58,636.024,0.013,47.74,0.22,734.865,3.384,179,6.5,179,0
NGC4100,0.95,0,0,4,18,2.5,73,2,59.394,0.328,0,4.93,6.98,113.44,1.158,2.15,2484.966,0.01,56.27,0.311,866.259,4.784,194,5.7,202.677,0
NGC4157,0.59,0.039,0.587,3,18,2.5,82,3,105.62,0.486,2.014,4.44,8.72,118.137,0.86,2.32,1945.405,128.107,62,4.093,611.504,40.366,201,7.3,196.216,6.207
NGC4183,1.81,0,0,6,18,2.5,82,2,10.838,0.15,0,4.47,8.72,12.033,0.058,2.79,276.898,0.005,19.63,0.272,193.602,2.679,114,6.1,113.82,0
NGC4214,1.45,0,0,10,2.87,0.14,15,10,1.141,0.008,0,0.7,1.04,351.375,58.937,0.51,1827.633,0.168,1.65,0.012,1143.919,8.02,66.6,7.97,70.733,0
NGC4217,0.29,0.045,0.292,3,18,2.5,86,2,85.299,0.393,68.306,5.28,3.5,33.761,0.082,2.94,88.99,13.715,24.88,3.836,1523.34,234.871,164,6.4,152.979,11.046
NGC4389,0.16,0.04,0,4,18,2.5,50,4,21.328,0.216,0,4.05,4.45,133.321,5.978,2.79,33.969,8.276,3.49,0.852,132.275,32.255,95.9,6.3,65.338,7.144
NGC4559,0.78,0.039,0,6,9,2.7,67,1,19.377,0.107,0,3.82,4.58,82.55,0.563,2.1,487.013,24.714,15.07,0.769,538.826,27.505,104,5.67,104,2.573
NGC5005,0.54,0.009,0.54,4,16.9,1.5,68,2,178.72,0.494,20.759,3.97,3.44,670.512,8.766,9.45,19.545,0.322,96.56,1.611,75403.693,1258.097,233,17.4,245.314,1.436
NGC5055,0.49,0.01,0,4,9.9,0.3,55,6,152.922,0.282,0,4.18,6.46,793.268,47.56,3.2,946.796,18.877,75.39,1.509,6864.41,137.441,193,1.88,197.327,1.949
NGC5371,0.67,0,0,4,39.7,9.92,53,2,340.393,1.881,0,9.8,14.48,337.516,7.089,7.44,561.567,0.021,227.56,1.257,813.981,4.498,237,3,246.665,0
NGC5585,0.65,0.028,0,7,7.06,2.12,51,2,2.943,0.033,0,2.27,4.79,56.979,1.251,1.53,121.746,5.161,1.92,0.084,62.652,2.747,78.4,3.8,49.99,0.894
